Mois,Région,Rayonnement solaire global (W/m2),Vitesse du vent à 100m (m/s)
2017-10,Corse,151.72532258064516,3.882177419354841
2017-10,Grand-Est,92.69387096774189,4.811653225806455
2017-10,Hauts-de-France,83.93342741935483,6.323548387096772
2017-10,Ile-de-France,91.49883064516126,5.692701612903227
2017-10,Normandie,89.5726612903226,6.689516129032257
2017-10,Nouvelle-Aquitaine,117.01209677419355,4.330201612903227
2017-10,Occitanie,131.18951612903226,6.510322580645157
2017-10,Pays de la Loire,101.32181451612908,6.04391129032258
2017-10,Provence-Alpes-Côte d'Azur,150.38403225806445,4.545483870967742
2017-11,Auvergne-Rhône-Alpes,68.998125,3.8885833333333335
2017-11,Bourgogne-Franche-Comté,54.72087500000001,5.681583333333336
2017-11,Bretagne,55.341958333333345,7.2529166666666685
2017-11,Centre-Val de Loire,57.42712500000004,6.157541666666671
2017-11,Corse,89.71116666666668,5.1547083333333354
2017-11,Grand-Est,47.400041666666674,5.380208333333329
2017-11,Hauts-de-France,45.453916666666686,6.153875000000001
2017-11,Ile-de-France,51.08558333333335,6.038124999999997
2017-11,Normandie,49.2529166666667,7.22525
2017-11,Nouvelle-Aquitaine,76.57516666666668,4.765874999999997
2017-11,Occitanie,85.28637499999995,8.362875000000004
2017-11,Pays de la Loire,64.23720833333334,6.9816249999999975
2017-11,Provence-Alpes-Côte d'Azur,95.35425000000005,5.366
2017-12,Auvergne-Rhône-Alpes,44.78237903225807,3.794879032258065
2017-12,Bourgogne-Franche-Comté,33.711491935483885,6.357620967741935
2017-12,Bretagne,33.79040322580644,9.037782258064512
2017-12,Centre-Val de Loire,34.6467741935484,7.571693548387096
2017-12,Corse,65.5372983870968,6.196774193548384
2017-12,Grand-Est,29.491935483870957,6.70588709677419
2017-12,Hauts-de-France,27.524475806451626,7.92459677419355
2017-12,Ile-de-France,29.108427419354836,7.834193548387099
2017-12,Normandie,30.052661290322572,8.847338709677413
2017-12,Nouvelle-Aquitaine,46.35350806451612,5.963629032258062
2017-12,Occitanie,55.67298387096777,7.540846774193545
2017-12,Pays de la Loire,37.317338709677415,8.343467741935482
2017-12,Provence-Alpes-Côte d'Azur,65.67004032258062,6.688024193548388
2018-01,Auvergne-Rhône-Alpes,51.86639676113362,4.110931174089068
2018-01,Bourgogne-Franche-Comté,37.53514170040486,6.458421052631578
2018-01,Bretagne,37.74578947368421,10.18858299595142
2018-01,Centre-Val de Loire,33.535182186234834,7.821781376518216
2018-01,Corse,83.51817813765183,6.001174089068827
2018-01,Grand-Est,33.689433198380584,7.307773279352223
2018-01,Hauts-de-France,32.778663967611344,8.737085020242924
2018-01,Ile-de-France,31.412469635627538,8.021740890688262
2018-01,Normandie,36.197287449392725,9.533198380566802
2018-01,Nouvelle-Aquitaine,47.40384615384617,6.7276113360323855
2018-01,Occitanie,60.415060728744976,6.890161943319835
2018-01,Pays de la Loire,38.59514170040488,8.741619433198377
2018-01,Provence-Alpes-Côte d'Azur,77.26821862348181,7.925141700404857
2018-02,Auvergne-Rhône-Alpes,94.87267857142857,3.880044642857142
2018-02,Bourgogne-Franche-Comté,89.77142857142859,5.5772767857142815
2018-02,Bretagne,90.10941964285715,8.452321428571427
2018-02,Centre-Val de Loire,89.07415178571434,6.827410714285713
2018-02,Corse,98.17602678571427,5.123214285714283
2018-02,Grand-Est,91.07004464285725,6.059955357142855
2018-02,Hauts-de-France,87.83517857142859,7.323214285714284
2018-02,Ile-de-France,87.99571428571429,6.903080357142855
2018-02,Normandie,85.63370535714286,7.837991071428567
2018-02,Nouvelle-Aquitaine,94.16486607142852,5.6550892857142845
2018-02,Occitanie,102.81223214285714,6.200803571428573
2018-02,Pays de la Loire,91.63674107142856,7.674419642857138
2018-02,Provence-Alpes-Côte d'Azur,105.43218749999998,6.30433035714285
2018-03,Auvergne-Rhône-Alpes,130.19858870967744,4.150362903225807
2018-03,Bourgogne-Franche-Comté,112.80080645161289,5.711895161290325
2018-03,Bretagne,116.84891129032259,8.594717741935488
2018-03,Centre-Val de Loire,110.94685483870968,6.882822580645159
2018-03,Corse,156.40762096774182,6.105161290322582
2018-03,Grand-Est,105.64778225806458,6.128830645161294
2018-03,Hauts-de-France,97.46717741935483,7.276209677419355
2018-03,Ile-de-France,100.61830645161297,6.877741935483871
2018-03,Normandie,106.31903225806454,7.90270161290323
2018-03,Nouvelle-Aquitaine,130.32842741935485,6.96145161290323
2018-03,Occitanie,144.86032258064517,6.911653225806454
2018-03,Pays de la Loire,119.66879032258058,7.945564516129031
2018-03,Provence-Alpes-Côte d'Azur,157.5297177419354,7.6281048387096755
2018-04,Auvergne-Rhône-Alpes,211.59920833333322,3.8408333333333338
2018-04,Bourgogne-Franche-Comté,204.1727499999999,4.888874999999999
2018-04,Bretagne,188.6266666666666,6.582791666666671
2018-04,Centre-Val de Loire,183.19383333333346,5.533750000000002
2018-04,Corse,233.65962499999998,4.5400833333333335
2018-04,Grand-Est,201.15283333333355,5.194583333333336
2018-04,Hauts-de-France,175.69491666666661,6.209833333333331
2018-04,Ile-de-France,176.72033333333326,5.699708333333333
2018-04,Normandie,175.80974999999998,6.27725
2018-04,Nouvelle-Aquitaine,194.63524999999996,5.204791666666665
2018-04,Occitanie,207.7478333333334,5.943708333333331
2018-04,Pays de la Loire,183.14987499999995,5.8609583333333335
2018-04,Provence-Alpes-Côte d'Azur,218.12199999999996,6.335708333333331
2018-05,Auvergne-Rhône-Alpes,221.7316935483871,3.200322580645162
2018-05,Bourgogne-Franche-Comté,228.3536693548387,4.011330645161289
2018-05,Bretagne,248.8822983870968,5.86915322580645
2018-05,Centre-Val de Loire,244.77758064516118,4.91181451612903
2018-05,Corse,239.29737903225802,3.820967741935485
2018-05,Grand-Est,241.66999999999996,4.3791129032258045
2018-05,Hauts-de-France,248.23076612903222,5.474999999999999
2018-05,Ile-de-France,247.38512096774198,5.099395161290323
2018-05,Normandie,255.08104838709664,5.5054838709677405
2018-05,Nouvelle-Aquitaine,229.48891129032248,4.523467741935486
2018-05,Occitanie,223.8297177419355,5.470846774193549
2018-05,Pays de la Loire,249.22798387096762,5.477620967741936
2018-05,Provence-Alpes-Côte d'Azur,239.6402419354839,4.553266129032255
2018-06,Auvergne-Rhône-Alpes,273.3619166666667,3.5105000000000004
2018-06,Bourgogne-Franche-Comté,266.9209166666666,4.142708333333333
2018-06,Bretagne,265.78175000000016,5.706749999999996
2018-06,Centre-Val de Loire,255.28608333333338,4.890708333333334
2018-06,Corse,288.69258333333335,3.580249999999999
2018-06,Grand-Est,255.9813750000001,4.218958333333332
2018-06,Hauts-de-France,261.8838333333332,5.479499999999994
2018-06,Ile-de-France,244.50983333333326,4.819125
2018-06,Normandie,267.52804166666664,5.441666666666666
2018-06,Nouvelle-Aquitaine,257.39812499999994,4.404666666666665
2018-06,Occitanie,270.71970833333324,5.014708333333334
2018-06,Pays de la Loire,257.4394583333335,5.532208333333331
2018-06,Provence-Alpes-Côte d'Azur,280.1555833333335,4.47879166666667
2018-07,Auvergne-Rhône-Alpes,285.46713709677425,3.1272177419354836
2018-07,Bourgogne-Franche-Comté,273.0486290322581,3.614758064516131
2018-07,Bretagne,270.907177419355,5.1324193548387145
2018-07,Centre-Val de Loire,268.16266129032243,4.338911290322582
2018-07,Corse,307.15375,3.392016129032258
2018-07,Grand-Est,268.3179435483871,3.7681451612903243
2018-07,Hauts-de-France,270.71008064516127,4.73213709677419
2018-07,Ile-de-France,262.646370967742,4.400040322580645
2018-07,Normandie,274.0503629032257,4.6569758064516105
2018-07,Nouvelle-Aquitaine,274.371935483871,4.06967741935484
2018-07,Occitanie,286.2061693548387,4.740927419354836
2018-07,Pays de la Loire,266.3885887096774,5.038629032258066
2018-07,Provence-Alpes-Côte d'Azur,304.35653225806453,4.593790322580646
2018-08,Auvergne-Rhône-Alpes,244.55239583333332,3.4122916666666665
2018-08,Bourgogne-Franche-Comté,238.07663194444453,4.090486111111111
