Mois,Région,Production solaire (GWh),Production éolienne (GWh)
2015-05,Pays de la Loire,48.954078,89.346835
2015-05,Provence-Alpes-Côte d'Azur,139.749578,11.226829
2015-05,Île-de-France,8.762019,2.823627
2015-06,Auvergne-Rhône-Alpes,101.200025,44.315513
2015-06,Bourgogne-Franche-Comté,28.654517,34.702731
2015-06,Bretagne,27.226082,97.211879
2015-06,Centre-Val de Loire,32.939319,116.778196
2015-06,Corse,16.624258,0.76617
2015-06,Grand Est,65.723507,307.855356
2015-06,Hauts-de-France,19.025785,315.705091
2015-06,Normandie,17.89975,73.081008
2015-06,Nouvelle-Aquitaine,235.515682,46.122582
2015-06,Occitanie,198.081038,137.327004
2015-06,Pays de la Loire,58.620566,71.982544
2015-06,Provence-Alpes-Côte d'Azur,139.670996,6.622559
2015-06,Île-de-France,10.705527,2.234207
2015-07,Auvergne-Rhône-Alpes,106.416803,57.054997
2015-07,Bourgogne-Franche-Comté,29.515313,42.881086
2015-07,Bretagne,22.94697,89.599663
2015-07,Centre-Val de Loire,30.405821,120.23546
2015-07,Corse,17.664911,2.032825
2015-07,Grand Est,68.308892,338.204085
2015-07,Hauts-de-France,15.874028,347.574062
2015-07,Normandie,14.886046,75.141221
2015-07,Nouvelle-Aquitaine,227.592937,53.833116
2015-07,Occitanie,196.942087,189.319883
2015-07,Pays de la Loire,53.609768,73.65866
2015-07,Provence-Alpes-Côte d'Azur,149.471119,6.950381
2015-07,Île-de-France,9.773583,2.63819
2015-08,Auvergne-Rhône-Alpes,91.714988,55.400297
2015-08,Bourgogne-Franche-Comté,26.133879,38.104154
2015-08,Bretagne,20.073622,83.227635
2015-08,Centre-Val de Loire,27.348608,101.104905
2015-08,Corse,18.511256,1.07694
2015-08,Grand Est,60.816506,293.339553
2015-08,Hauts-de-France,14.947574,231.798183
2015-08,Normandie,13.87972,54.767716
2015-08,Nouvelle-Aquitaine,206.138572,46.936429
2015-08,Occitanie,181.518348,154.982988
2015-08,Pays de la Loire,47.691379,56.777945
2015-08,Provence-Alpes-Côte d'Azur,134.271735,5.248003
2015-08,Île-de-France,8.731258,3.327361
2015-09,Auvergne-Rhône-Alpes,73.415467,70.877824
2015-09,Bourgogne-Franche-Comté,21.679767,64.06087
2015-09,Bretagne,20.156559,97.98011
2015-09,Centre-Val de Loire,23.623034,164.901066
2015-09,Corse,12.934015,3.48456
2015-09,Grand Est,45.886751,491.870826
2015-09,Hauts-de-France,11.539838,346.406815
2015-09,Normandie,12.601046,80.640807
2015-09,Nouvelle-Aquitaine,177.688528,77.516437
2015-09,Occitanie,151.581797,164.29155
2015-09,Pays de la Loire,44.091602,95.919893
2015-09,Provence-Alpes-Côte d'Azur,113.721635,10.08479
2015-09,Île-de-France,7.044277,6.494558
2015-10,Auvergne-Rhône-Alpes,48.915212,62.480556
2015-10,Bourgogne-Franche-Comté,13.817745,45.532717
2015-10,Bretagne,12.090076,110.750226
2015-10,Centre-Val de Loire,15.017683,109.174721
2015-10,Corse,9.472382,2.581582
2015-10,Grand Est,27.091591,300.307
2015-10,Hauts-de-France,7.398643,241.39824
2015-10,Normandie,7.83408,72.378436
2015-10,Nouvelle-Aquitaine,141.372921,74.953825
2015-10,Occitanie,113.453565,171.826435
2015-10,Pays de la Loire,29.510228,88.187189
2015-10,Provence-Alpes-Côte d'Azur,82.287084,8.775841
2015-10,Île-de-France,4.23726,3.765193
2015-11,Auvergne-Rhône-Alpes,40.075569,75.142502
2015-11,Bourgogne-Franche-Comté,9.067798,89.852593
2015-11,Bretagne,6.797521,195.387954
2015-11,Centre-Val de Loire,10.010521,227.590166
2015-11,Corse,7.798814,1.96431
2015-11,Grand Est,16.349189,651.451588
2015-11,Hauts-de-France,3.755731,661.129726
2015-11,Normandie,4.502049,168.567731
2015-11,Nouvelle-Aquitaine,96.774554,88.493025
2015-11,Occitanie,88.733744,241.94072
2015-11,Pays de la Loire,15.424908,124.911706
2015-11,Provence-Alpes-Côte d'Azur,74.950316,10.178324
2015-11,Île-de-France,2.455433,8.272335
2015-12,Auvergne-Rhône-Alpes,33.691453,69.613506
2015-12,Bourgogne-Franche-Comté,8.730708,87.44938
2015-12,Bretagne,5.182113,250.18892
2015-12,Centre-Val de Loire,8.747504,195.411056
2015-12,Corse,7.965294,1.53729
2015-12,Grand Est,16.16459,590.723369
2015-12,Hauts-de-France,3.327975,758.102605
2015-12,Normandie,3.397746,202.727608
2015-12,Nouvelle-Aquitaine,94.907432,111.317738
2015-12,Occitanie,67.597953,144.96606
